Date,Open,High,Low,Close,Adj Close,Volume
01-05-2012,6.626,6.842,6.626,6.756,6.756,3295000
02-05-2012,6.7,6.878,6.678,6.788,6.788,2486500
03-05-2012,6.782,6.8,6.426,6.492,6.492,4206500
04-05-2012,6.464,6.492,6.28,6.366,6.366,6237500
07-05-2012,6.392,6.516,6.322,6.494,6.494,5790000
08-05-2012,6.5,6.546,5.874,6.038,6.038,15486000
09-05-2012,6.06,6.154,5.952,6.012,6.012,9739500
10-05-2012,6.594,6.936,6.48,6.592,6.592,27781500
11-05-2012,6.498,6.688,6.432,6.45,6.45,6106500
14-05-2012,6.384,6.426,6.01,6.012,6.012,6904500
15-05-2012,6.052,6.192,5.844,5.886,5.886,7928500
16-05-2012,5.916,6.036,5.776,5.836,5.836,6285500
17-05-2012,5.86,5.958,5.648,5.714,5.714,5745000
18-05-2012,5.674,5.692,5.366,5.512,5.512,8082500
21-05-2012,5.516,5.852,5.424,5.754,5.754,7376000
22-05-2012,6.02,6.268,6,6.16,6.16,11831000
23-05-2012,6.112,6.21,5.9,6.204,6.204,6102000
24-05-2012,6.25,6.25,5.938,6.056,6.056,5378000
25-05-2012,6.032,6.082,5.84,5.962,5.962,3785000
29-05-2012,6.002,6.386,6.002,6.338,6.338,8250000
30-05-2012,6.216,6.284,6.048,6.082,6.082,6536000
31-05-2012,6.014,6.058,5.75,5.9,5.9,5593500
01-06-2012,5.706,5.832,5.552,5.63,5.63,4429000
04-06-2012,5.606,5.682,5.422,5.576,5.576,5154500
05-06-2012,5.568,5.678,5.512,5.582,5.582,3154500
06-06-2012,5.64,5.89,5.628,5.844,5.844,4549500
07-06-2012,5.962,5.974,5.77,5.786,5.786,2460500
08-06-2012,5.772,6.038,5.63,6.016,6.016,4405500
11-06-2012,6.062,6.2,5.792,5.824,5.824,3180000
12-06-2012,5.846,5.968,5.762,5.932,5.932,2845000
13-06-2012,5.91,6.128,5.894,5.954,5.954,4220500
